"Sample ID","Bioproject ID","Biosample ID","Species","Biotic Relationship","Extreme Environment","Cell Arrangement","Cell Shape","Colony Color","Energy Source","Habitat","Oxygen","Latitude","Longitude","Elevation","Collection Method","Collection Date","Storage Method","Originating Lab","Sample Provider","GEO Location","Contact Email","Description"
"P10K-NCBI-001581","PRJNA377737","SAMN06469831","Plasmodium knowlesi Malayan Strain Pk1 (A+)","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-05-15","NA","NA","Malaria Host Pathogen Interaction Center","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001582","PRJNA382816","SAMN06733347","Tetradesmus obliquus DOE0152z","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-05-18","NA","NA","Brooklyn College - City University of New York","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001583","PRJNA194468","SAMN01992780","Paramoeba pemaquidensis CCAP 1560/4","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-05-19","NA","NA","Dalhousie University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001584","PRJNA368972","SAMN06274943","Thraustochytrium sp. ATCC 26185","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-05-22","NA","NA","University of Saskatchewan","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001585","PRJNA362700","SAMN06273072","Auxenochlorella protothecoides UTEX 2341","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-05-22","NA","NA","Agricultural University of Athens","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001586","PRJDB5590","SAMD00076127","Plasmodium gonderi ATCC 30045","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-05-17","NA","NA","Osaka University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001587","PRJNA337288","SAMN05519167","Ostreococcus tauri RCC 1115","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-05-26","NA","NA","DOE Joint Genome Institute","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001588","PRJNA374454","SAMN06319103","Acanthamoeba lenticulata PT-14","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-06-08","NA","NA","National Yang-Ming University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001589","PRJNA242761","SAMN03448480","Theileria equi","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-06-08","NA","NA","US Department of Agriculture","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001590","PRJNA378874","SAMN06563026","Aphanomyces astaci","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-06-16","NA","NA","University of Exeter","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001591","PRJNA379059","SAMN06578764","Kappaphycus alvarezii","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-06-23","NA","NA","Beijing Institute of Genomics","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001592","PRJNA390721","SAMN07249242","Rhizophlyctis rosea NBRC 105426","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-07-05","NA","NA","DTU","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001593","PRJNA318028","SAMN04632436","Phytophthora megakarya zdho120","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-07-06","NA","NA","Beltsville Agricultural Research Center","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001594","PRJNA319530","SAMN04893599","Lotmaria passim ATCC PRA-422","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-07-11","NA","NA","University of Massachusetts","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001595","PRJNA319524","SAMN04893576","Crithidia mellificae ATCC 30254","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-07-11","NA","NA","University of Massachusetts","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001596","PRJNA319526","SAMN04893586","Crithidia mellificae ATCC 30862","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-07-11","NA","NA","University of Massachusetts","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001597","PRJNA319533","SAMN04893616","Crithidia bombi IL132","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-07-11","NA","NA","University of Massachusetts","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001598","PRJNA319531","SAMN04893614","Crithidia bombi VT1","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-07-11","NA","NA","University of Massachusetts","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001599","PRJNA319529","SAMN04893597","Lotmaria passim ATCC PRA-403","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-07-11","NA","NA","University of Massachusetts","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001600","PRJDB2969","SAMD00018578","Fistulifera solaris JPCC DA0580","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-06-17","NA","NA","Tokyo University of Agriculture and Technology","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001601","PRJNA330977","SAMN05432872","Trypanosoma cruzi Dm28c","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-07-14","NA","NA","Instituto Carlos Chagas - ICC/Fiocruz-PR","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001602","PRJEA71363","NA","Bathycoccus prasinos RCC 1105","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2012-06-21","NA","NA","Genoscope","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001603","PRJEB10000","SAMEA3496639","Cryptosporidium hominis","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2015-11-29","NA","NA","UDEA","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001604","PRJNA396645","SAMN07430226","Leishmania donovani pasteur","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-08-08","NA","NA","Center for Infectious Disease Research","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001605","PRJNA386230","SAMN06926116","Proteromonas lacertae LA","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-09","NA","NA","University of Liverpool","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001606","PRJNA395358","SAMN07375957","Peronospora effusa race Pfs12","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-10","NA","NA","University of Arkansas","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001607","PRJNA395358","SAMN07375958","Peronospora effusa race Pfs13","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-10","NA","NA","University of Arkansas","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001608","PRJNA395358","SAMN07375959","Peronospora effusa race Pfs14","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-10","NA","NA","University of Arkansas","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001609","PRJNA290385","SAMN03863807","Micractinium conductrix SAG 241.80","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-10","NA","NA","University of Minnesota","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001610","PRJNA290386","SAMN03890866","Chlorella sorokiniana 1602","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-10","NA","NA","University of Minnesota","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001611","PRJNA393259","SAMN07326770","Phytophthora plurivora AV1007","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-11","NA","NA","Sveriges lantbruksuniversite","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001612","PRJNA340070","SAMN07280877","Asterionella formosa","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-16","NA","NA","CNRS-AMU","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001613","PRJNA232109","SAMN02483514","Eimeria falciformis Bayer Haberkorn 1970","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-14","NA","NA","Max Delbrueck Centre for Molecular Medicine","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001614","PRJNA32771","SAMN02746051","Dunaliella salina CCAP 19/18","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-31","NA","NA","JGI","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001615","PRJNA379109","SAMN06579318","Lagenidium giganteum","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-09-06","NA","NA","Sveriges lantbruksuniversite","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001616","PRJNA387239","SAMN07142734","Trypanosoma congolense Tc1/148","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-09-06","NA","NA","Institute of infection and global health","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001617","PRJNA400285","SAMN07562559","Phytophthora colocasiae","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-09-11","NA","NA","Sveriges lantbruksuniversite","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001618","PRJNA394817","SAMN07360942","Scenedesmus quadricauda","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-09-20","NA","NA","CSIR-National Botanical Research Institute","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001619","PRJDB5468","SAMD00071608","Chlamydomonas eustigma NIES-2499","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-08-31","NA","NA","Department of Cell Genetics, National Institute of Genetics","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001620","PRJNA305615","SAMN04330037","Besnoitia besnoiti Bb-Ger1","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-10-17","NA","NA","Hernan Lorenzi","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001621","PRJNA401156","SAMN07595962","Coelastrella sp. UTEX B 3026","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-10-18","NA","NA","Brooklyn College - City University of New York","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001622","PRJNA341953","SAMN05730796","Cystoisospora suis Wien I","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-10-20","NA","NA","Institute of Parasitology - Vetmeduni Vienna","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001623","PRJNA413098","SAMN07736481","Phytophthora cinnamomi DU054","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-10-26","NA","NA","Deakin University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001624","PRJNA413098","SAMN07736482","Phytophthora cinnamomi WA94.26","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-10-26","NA","NA","Deakin University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001625","PRJNA393091","SAMN07305944","Trypanosoma cruzi Bug2148","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-10-03","NA","NA","Centro de Biologia Molecular Severo Ochoa","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001626","PRJNA393091","SAMN07303077","Trypanosoma cruzi Y","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-10-03","NA","NA","Centro de Biologia Molecular Severo Ochoa","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001627","PRJNA290639","SAMN03893650","Ichthyophonus hoferi","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-11-05","NA","NA","NOAA, National Marine Fisheries Service, Northwest Fisheries Science Center","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001628","PRJNA284437","SAMN03702587","Plasmodium vivax CMB-1","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-11-03","NA","NA","National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001629","PRJDB3715","SAMD00028436","Prototheca stagnorum JCM 9641","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-11-16","NA","NA","RIKEN Center for Life Science Technologies, Division of Genomic Technologies","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001630","PRJNA360047","SAMN06200029","Corallochytrium limacisporum Hawaii","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-05","NA","NA","Institut de Biologia Evolutiva","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001631","PRJNA360047","SAMN06200030","Abeoforma whisleri ATCC PRA-280","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-05","NA","NA","Institut de Biologia Evolutiva","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001632","PRJNA360047","SAMN06200031","Pirum gemmata ATCC PRA-279","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-05","NA","NA","Institut de Biologia Evolutiva","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001633","PRJNA290406","SAMN03892802","Phytophthora litchii SHS3","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-06","NA","NA","Nanjing Agricultural University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001634","PRJNA392383","SAMN07326317","Monoraphidium sp. 549","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-08","NA","NA","Seqomics Ltd.","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001635","PRJNA418600","SAMN08031155","Picochlorum sp. 'soloecismus'","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-08","NA","NA","Los Alamos National Lab","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001636","PRJNA400552","SAMN07569994","Plasmodium falciparum","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2017-12-11","NA","NA","Institut Pasteur","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001637","PRJNA416001","SAMN07839986","Nannochloropsis gaditana CCMP1894","Free living","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-13","NA","NA","Synthetic Genomics","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001638","PRJNA353947","SAMN06033040","Peronospora belbahrii","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-05","NA","NA","Michigan State University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001639","PRJNA418464","SAMN08028356","Chrysochromulina parva","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-17","NA","NA","Los Alamos National Lab","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001640","PRJNA343635","SAMN05791311","Trichomonas vaginalis ATCC 30188","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-17","NA","NA","Roche Molecular Systems","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001641","PRJNA393411","SAMN07332538","Tetrabaena socialis NIES-571","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-18","NA","NA","Volvocales Genome Consortium","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001642","PRJNA316938","SAMN07337752","Cyclospora cayetanensis CHN_HEN01","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001643","PRJNA316938","SAMN07337751","Cyclospora cayetanensis CDC:HCTX230:15","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001644","PRJNA316938","SAMN07337749","Cyclospora cayetanensis CDC:HCTX208:15","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001645","PRJNA316938","SAMN07337746","Cyclospora cayetanensis CDC:HCTX204:15","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001646","PRJNA316938","SAMN07337745","Cyclospora cayetanensis CDC:HCVA02:15","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001647","PRJNA316938","SAMN07337744","Cyclospora cayetanensis CDC:HCFL47:13","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001648","PRJNA316938","SAMN07337742","Cyclospora cayetanensis CDC:HCNY16:01","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001649","PRJNA316938","SAMN07337753","Cyclospora cayetanensis CDC:HCGM11:97","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001650","PRJNA316938","SAMN07337750","Cyclospora cayetanensis CDC:HCTX227:15","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001651","PRJNA316938","SAMN07337743","Cyclospora cayetanensis CDC:HCTX48:14","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-19","NA","NA","FDA, CDC and worldwide Cyclospora research community","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001652","PRJNA214256","SAMN03196605","Chlorella sp. ArM0029B","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-01-24","NA","NA","KRIBB","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001653","PRJDB5725","SAMD00078978","Babesia ovata Miyake","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-15","NA","NA","Research Center for Zoonosis Control, Hokkaido univ","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001654","PRJNA318026","SAMN04632378","Phytophthora palmivora sbr112.9","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-02-02","NA","NA","Beltsville Agricultural Research Center","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001655","PRJNA407662","SAMN07660612","Entamoeba moshkovskii Laredo","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-02-02","NA","NA","University of Liverpool","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001656","PRJNA414522","SAMN07807604","Paratrypanosoma confusum","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2018-02-07","NA","NA","Biology Centre, ASCR, v.v.i.","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001657","PRJDB5907","SAMD00084316","Sclerospora graminicola","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2017-12-20","NA","NA","Genomics and Breeding, Iwate Biotechnology Research Center","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001658","PRJNA422906","SAMN08200237","Chlorella sorokiniana 1228","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-02-23","NA","NA","Los Alamos National Laboratory","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001659","PRJNA434169","SAMN08537704","Phytophthora ramorum","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-03-05","NA","NA","Indian Institute Of Chemical biology","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001660","PRJNA433680","SAMN08514188","Lagenidium giganteum","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-03-07","NA","NA","Auburn University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001661","PRJNA433826","SAMN08518277","Paralagenidium karlingii 1391","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-03-07","NA","NA","Auburn University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001662","PRJNA357479","SAMN08618443","Cyclospora cayetanensis","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-03-14","NA","NA","CFSAN","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001663","PRJNA432511","SAMN08451128","Trypanosoma congolense IL3000","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2018-03-21","NA","NA","Centre for Genomic Research","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001664","PRJNA437593","SAMN08583618","Leishmania infantum TR01","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2018-03-27","NA","NA","Public Health General Directorate","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001665","PRJNA338377","SAMN05554249","Planoprotostelium fungivorum Jena","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-03-12","NA","NA","The Protostelium analysis consortium","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001666","PRJNA315506","SAMN08383022","Cryptosporidium parvum UKP14","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-03-29","NA","NA","Public Health Wales (Microbiology)","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001667","PRJNA316938","SAMN07337747","Cyclospora cayetanensis CDC:HCTX205:15","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-04-18","NA","NA","OARSA, CFSAN","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001668","PRJNA439211","SAMN08742179","Cryptosporidium parvum","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-04-19","NA","NA","National Microbiology Laboratory at Guelph","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001669","PRJNA412448","SAMN07714505","Chlorella sp. A99","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-04-23","NA","NA","Okayama University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001670","PRJNA438080","SAMN08693283","Leishmania tropica","Parasitic","Undefined","Singles","Undefined","Undefined","Heterotroph","NA","Undefined","NA","NA","NA","NA","2018-04-23","NA","NA","Lebanese American University","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001671","PRJNA325069","SAMN05219176","Theileria orientalis Robertson","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-04-26","NA","NA","Australian Centre for Genomic Epidemiological Microbiology","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001672","PRJNA325071","SAMN05219178","Theileria orientalis Goon Nure","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-04-26","NA","NA","Australian Centre for Genomic Epidemiological Microbiology","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001673","PRJNA325070","SAMN05219177","Theileria orientalis Fish Creek","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-04-26","NA","NA","Australian Centre for Genomic Epidemiological Microbiology","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001674","PRJNA422905","SAMN08200238","Chlorella sorokiniana 1412","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-05-11","NA","NA","Los Alamos National Laboratory","NA","p10k@ihb.ac.cn","From NCBI"
"P10K-NCBI-001675","PRJDB5042","SAMD00056693","Yamagishiella unicocca 2012-1026-YU-F2-6","NA","Undefined","Singles","Undefined","Undefined","Undefined","NA","Undefined","NA","NA","NA","NA","2018-04-06","NA","NA","Laboratory of Origin of Eukaryote Biodoversity, Department of Biological Sciences, Graduate School of Science, University of Tokyo","NA","p10k@ihb.ac.cn","From NCBI"
