Species,SampleID,AssemblyID,TotalSize,ScaffoldCount,N50,Completeness,GeneCount,CDSCompleteness,AnnotLevel,SomeNumber
Trypanosoma cruzi Bug2148,P10K-NCBI-001625,GCA_002749415.1,55.1574,929,200364,53.8,-1,-1.0,NA,0
Trypanosoma cruzi Y,P10K-NCBI-001626,GCA_002749425.1,39.0431,9821,11962,53.7,-1,-1.0,NA,0
Ichthyophonus hoferi,P10K-NCBI-001627,GCA_002751075.1,88.0791,1632,106768,53.7,-1,-1.0,NA,0
Plasmodium vivax CMB-1,P10K-NCBI-001628,GCA_002754635.1,28.8599,8346,6450,47.1,-1,-1.0,NA,0
Prototheca stagnorum JCM 9641,P10K-NCBI-001629,GCA_002794665.1,16.8962,27,1107247,77.3,-1,-1.0,NA,0
Corallochytrium limacisporum Hawaii,P10K-NCBI-001630,GCA_002811645.1,24.1098,286,180470,89.4,-1,-1.0,NA,0
Abeoforma whisleri ATCC PRA-280,P10K-NCBI-001631,GCA_002812265.1,101.554,71510,2177,3.1,-1,-1.0,NA,0
Pirum gemmata ATCC PRA-279,P10K-NCBI-001632,GCA_002812295.1,84.1881,76845,1643,2.4,-1,-1.0,NA,0
Phytophthora litchii SHS3,P10K-NCBI-001633,GCA_002812785.1,38.2009,2543,34546,94.5,-1,-1.0,NA,0
Monoraphidium sp. 549,P10K-NCBI-001634,GCA_002814315.1,74.6589,1851,105989,76.9,-1,-1.0,NA,0
Picochlorum sp. 'soloecismus',P10K-NCBI-001635,GCA_002818215.1,15.2525,38,724710,86.7,-1,-1.0,NA,0
Plasmodium falciparum,P10K-NCBI-001636,GCA_002831795.1,23.4356,19,1538260,51.4,5587,22.6078431372549,Medium,0
Nannochloropsis gaditana CCMP1894,P10K-NCBI-001637,GCA_002838785.1,30.8657,85,1141545,71.8,-1,-1.0,NA,0
Peronospora belbahrii,P10K-NCBI-001638,GCA_002864105.1,59.2425,8049,25807,92.9,-1,-1.0,NA,0
Chrysochromulina parva,P10K-NCBI-001639,GCA_002887195.1,65.7648,8362,16048,68.2,-1,-1.0,NA,0
Trichomonas vaginalis ATCC 30188,P10K-NCBI-001640,GCA_002891335.1,164.072,2486,152278,47.8,-1,-1.0,NA,0
Tetrabaena socialis NIES-571,P10K-NCBI-001641,GCA_002891735.1,135.78,5856,145927,27.5,14296,2.34331281477336,Medium,0
Cyclospora cayetanensis CHN_HEN01,P10K-NCBI-001642,GCA_002893305.1,44.1985,720,248917,34.1,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCTX230:15,P10K-NCBI-001643,GCA_002893315.1,43.0665,1991,51316,32.5,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCTX208:15,P10K-NCBI-001644,GCA_002893335.1,41.824,2612,20262,28.6,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCTX204:15,P10K-NCBI-001645,GCA_002893365.1,41.8252,1694,63396,29.4,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCVA02:15,P10K-NCBI-001646,GCA_002893375.1,37.4008,3115,12125,17.3,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCFL47:13,P10K-NCBI-001647,GCA_002893405.1,48.5998,7899,228088,32.5,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCNY16:01,P10K-NCBI-001648,GCA_002893425.1,45.4537,1274,343439,34.9,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCGM11:97,P10K-NCBI-001649,GCA_002893445.1,44.5189,650,252491,34.1,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCTX227:15,P10K-NCBI-001650,GCA_002893465.1,43.3712,1493,66452,31.8,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCTX48:14,P10K-NCBI-001651,GCA_002893485.1,44.6127,671,278301,34.5,-1,-1.0,NA,0
Chlorella sp. ArM0029B,P10K-NCBI-001652,GCA_002896455.3,92.9613,347,805067,78.0,-1,-1.0,NA,0
Babesia ovata Miyake,P10K-NCBI-001653,GCA_002897235.1,14.4534,91,2090503,45.1,5114,12.0850725501888,Medium,0
Phytophthora palmivora sbr112.9,P10K-NCBI-001654,GCA_002911725.1,107.773,24809,6694,82.3,28185,-1.0,NA,0
Entamoeba moshkovskii Laredo,P10K-NCBI-001655,GCA_002914575.1,25.2475,4607,40197,47.8,-1,-1.0,NA,0
Paratrypanosoma confusum,P10K-NCBI-001656,GCA_002921335.1,27.5462,2188,220321,54.1,-1,-1.0,NA,0
Sclerospora graminicola,P10K-NCBI-001657,GCA_002933675.1,253.717,64505,24328,89.8,-1,-1.0,NA,0
Chlorella sorokiniana 1228,P10K-NCBI-001658,GCA_002939045.1,61.3911,64,2415094,81.6,-1,-1.0,NA,0
Phytophthora ramorum,P10K-NCBI-001659,GCA_002968915.1,60.25,295,687183,82.3,-1,-1.0,NA,0
Lagenidium giganteum,P10K-NCBI-001660,GCA_002980415.1,70.8731,25744,5310,87.1,-1,-1.0,NA,0
Paralagenidium karlingii 1391,P10K-NCBI-001661,GCA_002980425.1,49.4256,10613,8723,91.4,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001662,GCA_002999335.1,44.3636,738,192560,34.5,-1,-1.0,NA,0
Trypanosoma congolense IL3000,P10K-NCBI-001663,GCA_003013265.1,39.1699,1539,156211,50.6,-1,-1.0,NA,0
Leishmania infantum TR01,P10K-NCBI-001664,GCA_003020905.1,32.0091,36,1046244,45.9,-1,-1.0,NA,0
Planoprotostelium fungivorum Jena,P10K-NCBI-001665,GCA_003024175.1,38.2881,821,115214,60.0,17493,6.76827843961691,Medium,0
Cryptosporidium parvum UKP14,P10K-NCBI-001666,GCA_003024765.1,9.43216,47,1057470,49.4,-1,-1.0,NA,0
Cyclospora cayetanensis CDC:HCTX205:15,P10K-NCBI-001667,GCA_003057635.1,47.0404,958,108591,33.7,-1,-1.0,NA,0
Cryptosporidium parvum,P10K-NCBI-001668,GCA_003057855.1,8.88196,14,1092230,49.0,-1,-1.0,NA,0
Chlorella sp. A99,P10K-NCBI-001669,GCA_003063905.1,40.934,82,1727419,69.4,-1,-1.0,NA,0
Leishmania tropica,P10K-NCBI-001670,GCA_003067545.1,32.1399,9499,13854,51.4,-1,-1.0,NA,0
Theileria orientalis Robertson,P10K-NCBI-001671,GCA_003072525.1,9.13169,331,105845,44.7,3675,10.8130530973451,Medium,0
Theileria orientalis Goon Nure,P10K-NCBI-001672,GCA_003072535.3,9.20645,6,2190794,45.9,3215,72.7596446700508,Medium,0
Theileria orientalis Fish Creek,P10K-NCBI-001673,GCA_003072545.3,9.372329,6,2300896,47.1,3379,73.4596929560506,Medium,0
Chlorella sorokiniana 1412,P10K-NCBI-001674,GCA_003116155.1,57.8816,65,2025419,82.0,-1,-1.0,NA,0
Yamagishiella unicocca 2012-1026-YU-F2-6,P10K-NCBI-001675,GCA_003116995.1,134.235,1461,666310,84.7,-1,-1.0,NA,0
Yamagishiella unicocca 2012-1026-YU-F2-1,P10K-NCBI-001676,GCA_003117035.1,140.837,1897,543037,84.7,-1,-1.0,NA,0
Eudorina sp. 2006-703-Eu-15,P10K-NCBI-001677,GCA_003117095.1,168.621,2471,377357,82.4,-1,-1.0,NA,0
Eudorina sp. 2006-703-Eu-15,P10K-NCBI-001678,GCA_003117195.1,184.032,3180,564035,83.5,-1,-1.0,NA,0
Plasmopara viticola PvitFEM01,P10K-NCBI-001679,GCA_003123765.1,83.5424,57890,4645,65.1,-1,-1.0,NA,0
Chlorella sorokiniana 1230,P10K-NCBI-001680,GCA_003130725.1,58.5349,20,4091730,82.0,-1,-1.0,NA,0
Cryptosporidium parvum,P10K-NCBI-001681,GCA_003148445.1,9.10621,20,918946,50.2,-1,-1.0,NA,0
Trypanosoma cruzi TCC,P10K-NCBI-001682,GCA_003177095.1,87.0585,1236,264196,54.1,29302,7.6144020503493,Medium,0
Trypanosoma cruzi Dm28c,P10K-NCBI-001683,GCA_003177105.1,53.2719,636,317638,52.2,19115,7.4090998106926,Medium,0
Gracilariopsis chorda,P10K-NCBI-001684,GCA_003194525.1,92.18,1211,220274,78.1,10938,7.25522857671664,High,0
Raphidocelis subcapitata NIES-35,P10K-NCBI-001685,GCA_003203535.1,51.1627,300,341804,66.7,13430,1.65134872599567,High,0
Prototheca wickerhamii HMC1,P10K-NCBI-001686,GCA_003255715.1,27.6911,3774,31154,74.1,-1,-1.0,NA,0
Phytophthora cactorum 10300,P10K-NCBI-001687,GCA_003287315.1,59.251,4623,56285,94.2,23884,-1.0,NA,0
Symbiodinium sp. clade A,P10K-NCBI-001688,GCA_003297005.1,766.66,16176,133469,31.0,-1,-1.0,NA,0
Leishmania braziliensis IOC-L 3564,P10K-NCBI-001689,GCA_003304975.1,38.0036,1029,758103,52.2,-1,-1.0,NA,0
Naegleria lovaniensis ATCC 30569,P10K-NCBI-001690,GCA_003324165.2,30.878736,111,656125,83.2,14764,91.3324573286372,High,0
Phytophthora nicotianae JM01,P10K-NCBI-001691,GCA_003328465.1,59.045,2004,100710,94.9,-1,-1.0,NA,0
Gracilariopsis lemaneiformis,P10K-NCBI-001692,GCA_003346895.1,88.6931,13775,34594,77.2,-1,-1.0,NA,0
Cyclospora cayetanensis C10,P10K-NCBI-001693,GCA_003351235.1,43.9919,1176,86968,32.9,-1,-1.0,NA,0
Cyclospora cayetanensis NF1,P10K-NCBI-001694,GCA_003351245.1,44.1776,834,120019,33.7,-1,-1.0,NA,0
Cyclospora cayetanensis C8,P10K-NCBI-001695,GCA_003351265.1,44.123,761,150260,34.5,-1,-1.0,NA,0
Cyclospora cayetanensis C5,P10K-NCBI-001696,GCA_003351285.1,44.0796,742,152873,34.5,-1,-1.0,NA,0
Leishmania tropica,P10K-NCBI-001697,GCA_003352575.1,32.2807,17013,7721,53.0,-1,-1.0,NA,0
Globobulimina sp.,P10K-NCBI-001698,GCA_003354225.1,70.2264,48370,1797,43.2,-1,-1.0,NA,0
Plasmodium vivax PvSY43,P10K-NCBI-001699,GCA_003402195.1,23.0135,14,2093009,49.0,-1,-1.0,NA,0
Plasmodium vivax PvSY56,P10K-NCBI-001700,GCA_003402215.1,23.7787,14,2093923,47.5,-1,-1.0,NA,0
Phytopythium vexans HF1,P10K-NCBI-001701,GCA_003413675.1,41.7256,44,1512378,93.4,-1,-1.0,NA,0
Trypanosoma brucei IVM-t1,P10K-NCBI-001702,GCA_003543875.1,26.9917,18,2271721,51.4,10293,8.97901010624514,Medium,0
Aphanomyces invadans NJM0002,P10K-NCBI-001703,GCA_003546525.1,52.1643,12298,13944,89.8,10899,-1.0,NA,0
Aphanomyces astaci Si,P10K-NCBI-001704,GCA_003546545.1,53.5255,12518,8462,86.3,14340,-1.0,NA,0
Aphanomyces astaci Kv,P10K-NCBI-001705,GCA_003546565.1,53.7012,12027,8730,83.2,14410,-1.0,NA,0
Aphanomyces astaci D2,P10K-NCBI-001706,GCA_003546585.1,53.4646,12226,8836,86.7,14358,-1.0,NA,0
Aphanomyces astaci Yx,P10K-NCBI-001707,GCA_003546605.1,53.621,13420,7510,84.3,14311,-1.0,NA,0
Aphanomyces astaci SA,P10K-NCBI-001708,GCA_003546625.1,53.2415,12809,7997,82.8,14330,-1.0,NA,0
Aphanomyces astaci Sv,P10K-NCBI-001709,GCA_003546765.1,51.8504,8676,13234,87.1,14100,-1.0,NA,0
Aphanomyces astaci FDL457,P10K-NCBI-001710,GCA_003546785.1,70.4526,27993,4763,76.1,16499,-1.0,NA,0
Aphanomyces astaci 197901,P10K-NCBI-001711,GCA_003546805.1,71.4885,24524,6100,81.1,16762,-1.0,NA,0
Aphanomyces astaci Da,P10K-NCBI-001712,GCA_003546825.1,51.7593,8084,14570,89.0,14050,-1.0,NA,0
Trebouxiophyceae sp. KSI-1,P10K-NCBI-001713,GCA_003568905.1,44.6862,22485,21380,62.7,-1,-1.0,NA,0
Kipferlia bialata,P10K-NCBI-001714,GCA_003568945.1,51.0277,11563,10488,3.9,17389,4.527885146328,Low,0
Goniomonas avonlea CCMP3327,P10K-NCBI-001715,GCA_003573635.1,91.517,31852,3834,37.3,-1,-1.0,NA,0
Trypanosoma cruzi S11,P10K-NCBI-001716,GCA_003594385.1,28.4769,7855,18630,51.8,-1,-1.0,NA,0
Trypanosoma cruzi Ycl4,P10K-NCBI-001717,GCA_003594405.1,26.1379,6664,10716,51.8,-1,-1.0,NA,0
Trypanosoma cruzi S23b,P10K-NCBI-001718,GCA_003594425.1,28.1323,7145,20992,53.0,-1,-1.0,NA,0
Trypanosoma cruzi S92a,P10K-NCBI-001719,GCA_003594445.1,27.0829,7134,20493,51.0,-1,-1.0,NA,0
Trypanosoma cruzi Ycl6,P10K-NCBI-001720,GCA_003594465.1,25.7786,6967,10394,50.2,-1,-1.0,NA,0
Trypanosoma cruzi Ycl2,P10K-NCBI-001721,GCA_003594485.1,25.9083,6884,10600,52.2,-1,-1.0,NA,0
Trypanosoma cruzi S15,P10K-NCBI-001722,GCA_003594585.1,27.5146,9197,17779,52.2,-1,-1.0,NA,0
Trypanosoma cruzi S162a,P10K-NCBI-001723,GCA_003594605.1,27.3035,8588,12390,49.4,-1,-1.0,NA,0
Trypanosoma cruzi Colombiana,P10K-NCBI-001724,GCA_003594625.1,30.8522,9338,5189,51.0,-1,-1.0,NA,0
Trypanosoma cruzi Y,P10K-NCBI-001725,GCA_003594645.1,29.993,8952,5474,50.6,-1,-1.0,NA,0
Metchnikovella incurvata,P10K-NCBI-001726,GCA_003600395.1,5.83509,2602,12545,25.9,-1,-1.0,NA,0
Prototheca bovis SAG 2021,P10K-NCBI-001727,GCA_003612995.1,24.7449,4555,7940,64.3,-1,-1.0,NA,0
Prototheca ciferrii SAG 2063,P10K-NCBI-001728,GCA_003613005.1,26.4489,6956,7016,53.8,-1,-1.0,NA,0
Blyttiomyces helicus,P10K-NCBI-001729,GCA_003614705.1,46.4689,8398,6675,39.6,12466,-1.0,NA,0
Caulochytrium protostelioides ATCC 52028,P10K-NCBI-001730,GCA_003615045.1,21.7969,564,92490,83.2,6290,-1.0,NA,0
Dictyostelium purpureum P1Ba,P10K-NCBI-001731,GCA_003640415.1,32.3201,2210,53408,94.1,-1,-1.0,NA,0
Plasmopara halstedii,P10K-NCBI-001732,GCA_003640465.1,71.4849,7628,32620,92.1,-1,-1.0,NA,0
Plasmopara obducens H12-14-11,P10K-NCBI-001733,GCA_003640485.1,199.089,135646,1720,92.5,-1,-1.0,NA,0
Plasmopara obducens PA1-1,P10K-NCBI-001734,GCA_003640625.1,295.301,108828,6620,99.2,-1,-1.0,NA,0
Leishmania lainsoni 216-34,P10K-NCBI-001735,GCA_003664395.1,34.152,137,638860,53.7,-1,-1.0,NA,0
Leishmania guyanensis 204-365,P10K-NCBI-001736,GCA_003664525.1,33.816,123,683170,56.0,-1,-1.0,NA,0
Picocystis sp. ML,P10K-NCBI-001737,GCA_003665715.1,29.6462,318,153916,80.8,-1,-1.0,NA,0
Aphanomyces astaci KB13,P10K-NCBI-001738,GCA_003666305.1,104.536,65991,2121,68.2,16061,-1.0,NA,0
Heterostelium multicystogenum AS2,P10K-NCBI-001739,GCA_003667245.1,30.3256,596,81600,68.3,-1,-1.0,NA,0
Speleostelium caveatum,P10K-NCBI-001740,GCA_003667305.1,30.9522,2180,40324,93.7,-1,-1.0,NA,0
Leishmania infantum HUUFS14,P10K-NCBI-001741,GCA_003671315.1,32.5789,2507,29848,54.5,-1,-1.0,NA,0
Trypanosomatidae sp. JR-2017a,P10K-NCBI-001742,GCA_003671325.1,54.075,5220,24173,52.2,-1,-1.0,NA,0
Trypanosomatidae sp. JR-2017a,P10K-NCBI-001743,GCA_003671345.1,54.718,5154,22941,53.0,-1,-1.0,NA,0
Plasmopara muralis,P10K-NCBI-001744,GCA_003676415.1,59.5409,1437,180612,93.4,-1,-1.0,NA,0
Polymyxa betae,P10K-NCBI-001745,GCA_003693705.1,27.0858,1001,61339,78.8,-1,-1.0,NA,0
Peronospora effusa R14,P10K-NCBI-001746,GCA_003704535.1,30.8133,880,61367,92.6,8569,-1.0,NA,0
Auxenochlorella protothecoides UTEX 25,P10K-NCBI-001747,GCA_003709365.1,21.2176,217,639896,77.3,5852,2.66575529733424,Medium,0
Trypanosoma rangeli AM80,P10K-NCBI-001748,GCA_003719475.1,21.1573,1080,43151,52.6,10589,6.61124307205067,Medium,0
Trypanosoma conorhini 025E,P10K-NCBI-001749,GCA_003719485.1,21.3342,1658,24561,53.0,10321,4.25699645250296,Medium,0
Leishmania donovani LdCL,P10K-NCBI-001750,GCA_003719575.1,32.9599,36,1067468,54.5,9757,4.95829471733086,Medium,0
Plasmopara halstedii pathotype 710,P10K-NCBI-001751,GCA_003724065.1,67.6298,745,496278,87.9,-1,-1.0,NA,0
Leishmania donovani FDAARGOS_360,P10K-NCBI-001752,GCA_003730175.1,34.0114,71,828097,52.6,8036,4.86881937436932,Medium,0
Leishmania donovani FDAARGOS_361,P10K-NCBI-001753,GCA_003730215.1,33.4537,56,1033854,54.5,7872,4.88024723152202,Medium,0
Pythium guiyangense Su,P10K-NCBI-001754,GCA_003730235.1,110.178,239,1009130,94.9,-1,-1.0,NA,0
Plasmodiophora brassicae eH,P10K-NCBI-001755,GCA_003833335.1,24.5596,136,741293,84.3,-1,-1.0,NA,0
Peronospora effusa R13,P10K-NCBI-001756,GCA_003843895.1,32.1629,784,72179,93.0,8603,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001757,GCA_003935065.1,44.5256,1324,147450,34.9,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001758,GCA_003944945.1,44.2034,1638,82105,32.9,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001759,GCA_003944955.1,44.3202,1710,81750,33.3,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001760,GCA_003944965.1,44.2251,1384,90379,32.5,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001761,GCA_003944975.1,44.2315,2774,38624,31.4,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001762,GCA_003944985.1,44.3182,1789,78974,32.9,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001763,GCA_003945045.1,44.2948,1645,86661,33.7,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001764,GCA_003945055.1,44.3425,1420,100351,32.9,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001765,GCA_003945065.1,44.3949,812,218769,33.7,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001766,GCA_003945075.1,44.4438,1288,112390,32.5,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001767,GCA_003945085.1,44.3215,2795,37684,30.2,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001768,GCA_003945135.1,44.5466,1072,145606,34.1,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001769,GCA_003945145.1,44.7505,2657,62925,32.9,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001770,GCA_003945155.1,44.2483,2826,36643,30.2,-1,-1.0,NA,0
Cyclospora cayetanensis,P10K-NCBI-001771,GCA_003945175.1,44.4658,1119,142454,34.1,-1,-1.0,NA,0
Haematococcus lacustris SAG 192.80,P10K-NCBI-001772,GCA_003970955.1,365.774,104856,11925,61.9,-1,-1.0,NA,0
Pseudoperonospora humuli,P10K-NCBI-001773,GCA_003991265.1,40.5067,5534,19165,93.7,-1,-1.0,NA,0
Leishmania mexicana 215-49,P10K-NCBI-001774,GCA_003992435.1,32.0572,55,825953,53.8,-1,-1.0,NA,0
Leishmania aethiopica 209-622,P10K-NCBI-001775,GCA_003992445.1,33.6484,118,763733,53.0,-1,-1.0,NA,0
Leishmania amazonensis 210-660,P10K-NCBI-001776,GCA_003992505.1,33.505,92,850106,52.5,-1,-1.0,NA,0
Plasmodiophora brassicae,P10K-NCBI-001777,GCA_003992685.1,24.1896,106,722691,84.3,-1,-1.0,NA,0
Tubulinosema ratisbonensis Franzen,P10K-NCBI-001778,GCA_004000155.1,7.56042,952,12152,25.5,3082,-1.0,NA,0
Globisporangium irregulare CBS 494.86,P10K-NCBI-001779,GCA_004117815.1,45.7844,9658,13460,92.2,-1,-1.0,NA,0
Phytophthora capsici,P10K-NCBI-001780,GCA_004137865.1,53.4302,9341,9423,91.0,-1,-1.0,NA,0
Phytophthora capsici,P10K-NCBI-001781,GCA_004137885.1,56.9046,9277,9970,94.1,-1,-1.0,NA,0
Phytophthora capsici,P10K-NCBI-001782,GCA_004137955.1,58.2919,8363,11645,93.4,-1,-1.0,NA,0
Phytophthora capsici,P10K-NCBI-001783,GCA_004137965.1,40.7711,11754,4558,84.3,-1,-1.0,NA,0
Phytophthora capsici,P10K-NCBI-001784,GCA_004137975.1,52.1982,11832,6599,87.9,-1,-1.0,NA,0
Pythium insidiosum MTPI 04,P10K-NCBI-001785,GCA_004138015.1,40.8734,12479,4858,45.9,-1,-1.0,NA,0
Phytophthora capsici,P10K-NCBI-001786,GCA_004138045.1,58.8855,7579,14052,93.8,-1,-1.0,NA,0
Ulva prolifera,P10K-NCBI-001787,GCA_004138255.1,87.8893,597,675063,58.1,-1,-1.0,NA,0
Plasmodiophora brassicae Pb3,P10K-NCBI-001788,GCA_004156335.1,24.1896,106,722691,84.3,-1,-1.0,NA,0
Plasmodiophora brassicae,P10K-NCBI-001789,GCA_004195245.1,24.1701,353,226854,76.1,-1,-1.0,NA,0
Hamiltosporidium magnivora,P10K-NCBI-001790,GCA_004325065.1,20.7341,3550,10347,29.8,4658,-1.0,NA,0
Hamiltosporidium tvaerminnensis,P10K-NCBI-001791,GCA_004325075.1,25.2027,2738,12459,30.2,6203,-1.0,NA,0
Aurantiochytrium acetophilum HS399,P10K-NCBI-001792,GCA_004332575.1,59.5693,15340,15406,87.1,-1,-1.0,NA,0
Nannochloropsis oceanica CCMP531,P10K-NCBI-001793,GCA_004335385.1,29.5689,2023,26762,47.8,-1,-1.0,NA,0
Nannochloropsis granulata CCMP529,P10K-NCBI-001794,GCA_004335405.1,27.6511,2878,14688,55.7,-1,-1.0,NA,0
Nannochloropsis oculata CCMP525,P10K-NCBI-001795,GCA_004335455.1,26.2748,1976,27236,43.9,-1,-1.0,NA,0
Microchloropsis salina CCMP537,P10K-NCBI-001796,GCA_004335465.1,23.055,2572,24449,58.8,-1,-1.0,NA,0
Nannochloris sp. X1,P10K-NCBI-001797,GCA_004335555.1,13.742,895,52627,81.2,-1,-1.0,NA,0
Nannochloris sp. RS,P10K-NCBI-001798,GCA_004335565.1,13.5623,138,1176250,82.4,-1,-1.0,NA,0
Haematococcus sp. NG2,P10K-NCBI-001799,GCA_004335575.1,77.83,303,591061,75.3,-1,-1.0,NA,0
Chloroidium sp. JM,P10K-NCBI-001800,GCA_004335615.1,60.4453,850,1042450,55.7,-1,-1.0,NA,0
Chloroidium sp. CF,P10K-NCBI-001801,GCA_004335625.1,54.3121,72,2512641,67.5,-1,-1.0,NA,0
Chloromonas sp. AAM2,P10K-NCBI-001802,GCA_004335635.1,102.366,6822,32535,65.9,-1,-1.0,NA,0
Dunaliella sp. WIN1,P10K-NCBI-001803,GCA_004335645.1,125.753,6266,26979,56.9,-1,-1.0,NA,0
Dunaliella sp. YS1,P10K-NCBI-001804,GCA_004335685.1,91.2501,19997,5862,11.0,-1,-1.0,NA,0
Chlamydomonas sp. WS7,P10K-NCBI-001805,GCA_004335715.1,114.12,9862,24298,60.0,-1,-1.0,NA,0
Chlorella sp. KRBP,P10K-NCBI-001806,GCA_004335735.1,126.282,19988,10159,64.7,-1,-1.0,NA,0
Chlamydomonas sp. WS3,P10K-NCBI-001807,GCA_004335755.1,114.12,9862,24298,60.0,-1,-1.0,NA,0
Dunaliella sp. RO,P10K-NCBI-001808,GCA_004335775.1,121.879,19995,8610,69.8,-1,-1.0,NA,0
Chlamydomonas sp. 3222,P10K-NCBI-001809,GCA_004335795.1,120.064,18517,14239,66.3,-1,-1.0,NA,0
Halamphora sp. MG8b,P10K-NCBI-001810,GCA_004335815.1,53.206,55067,1555,25.1,-1,-1.0,NA,0
Scenedesmus sp. ARA3,P10K-NCBI-001811,GCA_004335835.1,93.2383,1984,79822,72.2,-1,-1.0,NA,0
Characiochloris sp. AAM3,P10K-NCBI-001812,GCA_004335845.1,95.4771,6685,28672,63.1,-1,-1.0,NA,0
Chlamydomonas sp. 3112,P10K-NCBI-001813,GCA_004335865.1,120.064,18517,14239,66.3,-1,-1.0,NA,0
Dunaliella sp. M2,P10K-NCBI-001814,GCA_004335885.1,25.5382,1189,32757,16.9,-1,-1.0,NA,0
Chlamydomonas sp. AIC,P10K-NCBI-001815,GCA_004335895.1,52.665,5241,32757,41.2,-1,-1.0,NA,0
Scenedesmus sp. ARA,P10K-NCBI-001816,GCA_004335915.1,93.2383,1984,79822,72.2,-1,-1.0,NA,0
Halamphora sp. AAB,P10K-NCBI-001817,GCA_004335955.1,29.5545,6590,227054,7.8,-1,-1.0,NA,0
Cryptosporidium viatorum,P10K-NCBI-001818,GCA_004337795.1,9.26434,479,141150,51.0,-1,-1.0,NA,0
Cryptosporidium ubiquitum,P10K-NCBI-001819,GCA_004337805.1,9.02734,727,38238,51.0,-1,-1.0,NA,0
Cryptosporidium ubiquitum,P10K-NCBI-001820,GCA_004337815.1,9.03484,530,46750,51.0,-1,-1.0,NA,0
Cryptosporidium parvum UKP12,P10K-NCBI-001821,GCA_004337825.1,9.32521,30,1067370,45.1,-1,-1.0,NA,0
Cryptosporidium cuniculus UKCU2,P10K-NCBI-001822,GCA_004337835.1,9.18365,37,1049887,42.4,-1,-1.0,NA,0
Cryptosporidium parvum UKP16,P10K-NCBI-001823,GCA_004337865.1,9.30704,66,1005251,50.2,-1,-1.0,NA,0
Cryptosporidium parvum UKP15,P10K-NCBI-001824,GCA_004337875.1,9.40211,125,1008896,50.2,-1,-1.0,NA,0
Cryptosporidium meleagridis UKMEL4,P10K-NCBI-001825,GCA_004337925.1,8.79952,1450,11033,43.5,-1,-1.0,NA,0
Cryptosporidium parvum UKP13,P10K-NCBI-001826,GCA_004337945.1,9.03068,107,1025362,43.9,-1,-1.0,NA,0
Cryptosporidium meleagridis UKMEL3,P10K-NCBI-001827,GCA_004348035.1,8.70698,2260,6797,38.4,-1,-1.0,NA,0
Bremia lactucae SF5,P10K-NCBI-001828,GCA_004359215.2,115.935664,220,5324134,91.8,9767,95.9,High,0
Perkinsus sp. BL_2016,P10K-NCBI-001829,GCA_004369235.1,1.47289,469,10799,9.4,692,-1.0,NA,0
Plasmopara halstedii A23 Pilon,P10K-NCBI-001830,GCA_004380875.1,79.8784,1761,157860,93.4,-1,-1.0,NA,0
Cyanophora paradoxa,P10K-NCBI-001831,GCA_004431415.1,99.9404,712,213946,55.3,-1,-1.0,NA,0
Nannochloropsis oceanica LAMB2011,P10K-NCBI-001832,GCA_004519485.1,29.2648,32,1148430,73.7,-1,-1.0,NA,0
Microchloropsis salina CCMP1776,P10K-NCBI-001833,GCA_004565275.1,27.7573,196,828788,70.6,8817,-1.0,NA,0
Scenedesmus vacuolatus SAG 211-15,P10K-NCBI-001834,GCA_004764505.1,23.3582,20139,1571,76.5,-1,-1.0,NA,0
Ectocarpus sp. Ec32,P10K-NCBI-001835,GCA_004764655.1,195.782,793,6813345,77.6,-1,-1.0,NA,0
Schizochytrium sp. TIO01,P10K-NCBI-001836,GCA_004764695.1,64.0681,37,5831892,87.5,-1,-1.0,NA,0
Digenea simplex,P10K-NCBI-001837,GCA_004798425.1,299.321,8254,57705,75.3,-1,-1.0,NA,0
Cryptosporidium sp. chipmunk genotype I,P10K-NCBI-001838,GCA_004936735.2,9.052409,50,320570,50.2,3783,74.8620935765266,Medium,0
